design,variable,order,contact
2,res_netinc,"(1,1)",0.54
2,res_netinc,"(1,2)",0.495
2,res_netinc,"(2,1)",0.545
2,res_netinc,"(2,2)",0.51
1,res_netinc,"(1,1)",0.83
1,res_netinc,"(1,2)",0.615
1,res_netinc,"(2,1)",0.83
1,res_netinc,"(2,2)",0.615
2,res_tc,"(1,1)",0.345
2,res_tc,"(1,2)",0.325
2,res_tc,"(2,1)",0.315
2,res_tc,"(2,2)",0.29
1,res_tc,"(1,1)",0.885
1,res_tc,"(1,2)",0.655
1,res_tc,"(2,1)",0.89
1,res_tc,"(2,2)",0.675
2,netinc,"(1,1)",0.435
2,netinc,"(1,2)",0.48
2,netinc,"(2,1)",0.43
2,netinc,"(2,2)",0.49
1,netinc,"(1,1)",0.63
1,netinc,"(1,2)",0.565
1,netinc,"(2,1)",0.63
1,netinc,"(2,2)",0.565
2,tc,"(1,1)",0.165
2,tc,"(1,2)",0.22
2,tc,"(2,1)",0.14
2,tc,"(2,2)",0.145
1,tc,"(1,1)",0.81
1,tc,"(1,2)",0.745
1,tc,"(2,1)",0.8
1,tc,"(2,2)",0.725
